state,state_code,indicator,nfhs5_urban,nfhs5_rural,nfhs5_total,nfhs4_total
Maharashtra,MH,90. Women who have high risk waist-to-hip ratio (≥0.85) (%),51.5,38.6,44.5,
Maharashtra,MH,91. Men who have high risk waist-to-hip ratio (≥0.90) (%),43.2,38.7,40.7,
Maharashtra,MH,92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),66.3,70.7,68.9,53.8
Maharashtra,MH,93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),52.3,56.4,54.5,47.9
Maharashtra,MH,94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),44.2,46.5,45.7,49.3
Maharashtra,MH,95. All women age 15-49 years who are anaemic22 (%),52.0,56.1,54.2,48.0
Maharashtra,MH,96. All women age 15-19 years who are anaemic22 (%),56.4,57.7,57.2,49.7
Maharashtra,MH,97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),17.4,25.4,21.9,17.7
Maharashtra,MH,98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),19.0,34.2,27.9,27.5
Maharashtra,MH,99. Blood sugar level - high (141-160 mg/dl)23 (%),6.2,5.2,5.7,
Maharashtra,MH,100. Blood sugar level - very high (>160 mg/dl)23 (%),6.5,4.5,5.4,
Maharashtra,MH,101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),14.6,10.7,12.4,
Maharashtra,MH,102. Blood sugar level - high (141-160 mg/dl)23 (%),7.0,6.2,6.5,
Maharashtra,MH,103. Blood sugar level - very high (>160 mg/dl)23 (%),6.8,5.2,5.9,
Maharashtra,MH,104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),15.3,12.4,13.6,
Maharashtra,MH,105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.1,13.4,13.7,
Maharashtra,MH,106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),4.4,5.5,5.0,
Maharashtra,MH,107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),23.8,22.6,23.1,
Maharashtra,MH,108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.8,15.4,16.0,
Maharashtra,MH,109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),5.0,5.5,5.3,
Maharashtra,MH,110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.7,23.5,24.4,
Maharashtra,MH,111. Ever undergone a screening test for cervical cancer (%),2.5,2.1,2.3,
Maharashtra,MH,112. Ever undergone a breast examination for breast cancer (%),1.6,1.0,1.3,
Maharashtra,MH,113. Ever undergone an oral cavity examination for oral cancer (%),1.7,0.9,1.3,
Maharashtra,MH,114. Ever undergone an oral cavity examination for oral cancer (%),0.5,0.6,0.6,
Maharashtra,MH,115. Women who have comprehensive knowledge24 of HIV/AIDS (%),39.2,30.1,34.4,30.0
Maharashtra,MH,116. Men who have comprehensive knowledge24 of HIV/AIDS (%),50.7,35.1,42.6,44.5
Maharashtra,MH,117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),76.3,68.5,72.1,67.9
Maharashtra,MH,118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),89.6,79.8,84.5,86.4
Maharashtra,MH,119. Currently married women who usually participate in three household decisions25 (%),90.7,89.2,89.8,89.3
Maharashtra,MH,120. Women who worked in the last 12 months and were paid in cash (%),29.1,39.6,34.7,28.9
Maharashtra,MH,121. Women owning a house and/or land (alone or jointly with others) (%),21.1,24.5,22.9,34.3
Maharashtra,MH,122. Women having a bank or savings account that they themselves use (%),75.0,70.9,72.8,45.3
Maharashtra,MH,123. Women having a mobile phone that they themselves use (%),68.2,43.1,54.8,45.6
Maharashtra,MH,124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%),90.2,80.1,84.8,66.1
Maharashtra,MH,125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),21.0,28.6,25.2,21.3
Maharashtra,MH,126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.5,4.0,3.3,2.9
Maharashtra,MH,127. Young women age 18-29 years who experienced sexual violence by age 18 (%),4.5,7.6,6.2,2.9
Maharashtra,MH,128. Women age 15 years and above who use any kind of tobacco (%),6.6,14.7,10.9,
Maharashtra,MH,129. Men age 15 years and above who use any kind of tobacco (%),26.2,40.6,33.8,
Maharashtra,MH,130. Women age 15 years and above who consume alcohol (%),0.3,0.5,0.4,
Maharashtra,MH,131. Men age 15 years and above who consume alcohol (%),13.0,14.7,13.9,
Meghalaya,ML,1. Female population age 6 years and above who ever attended school (%),94.7,83.4,85.9,83.0
Meghalaya,ML,2. Population below age 15 years (%),29.7,39.2,37.3,36.5
Meghalaya,ML,"3. Sex ratio of the total population (females per 1,000 males)",1118.0,1020.0,1039.0,1005.0
Meghalaya,ML,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",915.0,1001.0,989.0,1009.0
Meghalaya,ML,5. Children under age 5 years whose birth was registered with the civil authority (%),87.5,81.2,82.1,79.8
Meghalaya,ML,6. Deaths in the last 3 years registered with the civil authority (%),60.9,52.8,54.4,
Meghalaya,ML,7. Population living in households with electricity (%),97.3,90.6,91.9,91.8
Meghalaya,ML,8. Population living in households with an improved drinking-water source1 (%),93.6,75.6,79.2,70.3
Meghalaya,ML,9. Population living in households that use an improved sanitation facility2 (%),81.3,83.3,82.9,61.4
Meghalaya,ML,10. Households using clean fuel for cooking3 (%),76.7,21.7,33.7,21.8
Meghalaya,ML,11. Households using iodized salt (%),97.5,88.7,90.6,99.1
Meghalaya,ML,12. Households with any usual member covered under a health insurance/financing scheme (%),52.8,66.5,63.5,34.6
Meghalaya,ML,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),36.3,30.3,31.2,
Meghalaya,ML,14. Women who are literate4 (%),97.1,85.5,88.2,
Meghalaya,ML,15. Men who are literate4 (%),92.9,81.5,83.7,
Meghalaya,ML,16. Women with 10 or more years of schooling (%),61.4,27.3,35.1,33.6
Meghalaya,ML,17. Men with 10 or more years of schooling (%),63.9,27.7,34.7,34.5
Meghalaya,ML,18. Women who have ever used the internet (%),57.8,28.0,34.7,
Meghalaya,ML,19. Men who have ever used the internet (%),59.2,38.5,42.1,
Meghalaya,ML,20. Women age 20-24 years married before age 18 years (%),9.1,19.1,16.9,16.9
Meghalaya,ML,21. Men age 25-29 years married before age 21 years (%),4.8,20.8,17.9,13.6
Meghalaya,ML,22. Total fertility rate (children per woman),1.6,3.3,2.9,3.0
Meghalaya,ML,23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.2,8.4,7.2,8.6
Meghalaya,ML,24. Adolescent fertility rate for women age 15-19 years5,18.0,58.0,49.0,48.0
Meghalaya,ML,25. Neonatal mortality rate (NNMR),14.2,20.6,19.8,18.3
Meghalaya,ML,26. Infant mortality rate (IMR),23.4,33.6,32.3,29.9
Meghalaya,ML,27. Under-five mortality rate (U5MR),23.4,42.6,40.0,39.6
Meghalaya,ML,28. Any method6 (%),25.9,27.8,27.4,24.3
Meghalaya,ML,29. Any modern method6 (%),21.0,22.9,22.5,21.9
Meghalaya,ML,30. Female sterilization (%),7.1,5.2,5.6,6.2
Meghalaya,ML,31. Male sterilization (%),0.0,0.0,0.0,0.0
Meghalaya,ML,32. IUD/PPIUD (%),2.9,4.7,4.4,2.1
Meghalaya,ML,33. Pill (%),6.0,8.9,8.3,11.7
Meghalaya,ML,34. Condom (%),3.9,2.4,2.7,1.3
Meghalaya,ML,35. Injectables (%),0.7,1.2,1.1,0.6
Meghalaya,ML,36. Total unmet need7 (%),21.9,28.2,26.9,21.2
Meghalaya,ML,37. Unmet need for spacing7 (%),13.3,19.5,18.3,15.3
Meghalaya,ML,38. Health worker ever talked to female non-users about family planning (%),18.7,30.4,27.4,24.2
Meghalaya,ML,39. Current users ever told about side effects of current method8 (%),61.4,68.4,67.2,61.3
Meghalaya,ML,40. Mothers who had an antenatal check-up in the first trimester (%),63.2,52.3,53.9,53.3
Meghalaya,ML,41. Mothers who had at least 4 antenatal care visits (%),67.5,49.6,52.2,50.0
Meghalaya,ML,42. Mothers whose last birth was protected against neonatal tetanus9 (%),84.8,81.6,82.1,79.2
Meghalaya,ML,43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),47.5,42.3,43.1,36.2
Meghalaya,ML,44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),28.7,19.2,20.6,13.0
Meghalaya,ML,45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),87.5,94.3,93.3,93.6
Meghalaya,ML,46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),54.8,42.0,43.9,47.5
Meghalaya,ML,47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),3353.0,3190.0,3219.0,3319.0
Meghalaya,ML,48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0,1.6,1.6,1.4
Meghalaya,ML,49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),59.1,42.5,44.9,
Meghalaya,ML,50. Institutional births (%),82.7,54.3,58.1,51.4
Meghalaya,ML,51. Institutional births in public facility (%),57.4,47.9,49.1,39.5
Meghalaya,ML,52. Home births that were conducted by skilled health personnel10 (%),2.2,7.3,6.6,2.6
Meghalaya,ML,53. Births attended by skilled health personnel10 (%),82.4,61.2,64.0,53.8
Meghalaya,ML,54. Births delivered by caesarean section (%),21.6,6.1,8.2,7.6
Meghalaya,ML,55. Births in a private health facility that were delivered by caesarean section (%),51.0,34.6,40.8,31.4
Meghalaya,ML,56. Births in a public health facility that were delivered by caesarean section (%),15.2,8.1,9.2,9.8
Meghalaya,ML,57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),58.3,64.7,63.8,61.4
Meghalaya,ML,58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),76.0,80.5,80.0,81.3
Meghalaya,ML,59. Children age 12-23 months who have received BCG (%),93.1,88.7,89.3,85.9
Meghalaya,ML,60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),63.5,69.3,68.5,71.0
Meghalaya,ML,61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),69.6,73.7,73.1,73.9
Meghalaya,ML,62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),70.4,72.8,72.5,71.8
Meghalaya,ML,63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),12.2,14.5,14.2,
Meghalaya,ML,64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),5.5,3.9,4.1,
Meghalaya,ML,65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),56.0,67.3,65.7,62.8
Meghalaya,ML,66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.3,59.7,61.0,57.8
Meghalaya,ML,67. Children age 12-23 months who received most of their vaccinations in a public health facility (%),78.3,96.1,93.6,92.4
Meghalaya,ML,68. Children age 12-23 months who received most of their vaccinations in a private health facility (%),17.0,1.3,3.5,4.9
Meghalaya,ML,69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.8,10.2,10.4,10.6
Meghalaya,ML,70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),60.9,75.5,73.2,77.4
Meghalaya,ML,71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),42.2,40.2,40.5,57.8
Meghalaya,ML,72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),69.1,69.2,69.2,69.9
Meghalaya,ML,73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.8,4.7,4.8,5.8
Meghalaya,ML,74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),66.6,74.0,72.9,74.9
Meghalaya,ML,75. Children under age 3 years breastfed within one hour of birth15 (%),70.8,79.9,78.8,60.6
Meghalaya,ML,76. Children under age 6 months exclusively breastfed16 (%),64.5,39.2,42.7,35.8
Meghalaya,ML,77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,66.2,66.8,67.4
Meghalaya,ML,"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",37.5,28.0,29.0,24.2
Meghalaya,ML,"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",43.7,30.1,32.5,19.5
Meghalaya,ML,"80. Total children age 6-23 months receiving an adequate diet16, 17  (%)",39.5,28.4,29.8,23.5
Meghalaya,ML,81. Children under 5 years who are stunted (height-for-age)18 (%),35.1,48.2,46.5,43.8
Meghalaya,ML,82. Children under 5 years who are wasted (weight-for-height)18 (%),13.0,12.0,12.1,15.3
Meghalaya,ML,83. Children under 5 years who are severely wasted (weight-for-height)19 (%),4.6,4.7,4.7,6.5
Meghalaya,ML,84. Children under 5 years who are underweight (weight-for-age)18 (%),22.2,27.3,26.6,28.9
Meghalaya,ML,85. Children under 5 years who are overweight (weight-for-height)20 (%),4.2,4.0,4.0,3.9
Meghalaya,ML,86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),10.2,11.0,10.8,12.1
Meghalaya,ML,87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),8.6,9.1,9.0,11.6
Meghalaya,ML,88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),17.9,9.7,11.5,12.2
Meghalaya,ML,89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),30.2,10.6,13.9,10.1
Meghalaya,ML,90. Women who have high risk waist-to-hip ratio (≥0.85) (%),55.7,61.9,60.6,
Meghalaya,ML,91. Men who have high risk waist-to-hip ratio (≥0.90) (%),28.5,24.0,24.7,
Meghalaya,ML,92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),38.8,46.0,45.1,48.0
Meghalaya,ML,93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),52.4,54.9,54.4,56.4
Meghalaya,ML,94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),40.2,45.9,45.0,53.3
Meghalaya,ML,95. All women age 15-49 years who are anaemic22 (%),51.8,54.3,53.8,56.2
Meghalaya,ML,96. All women age 15-19 years who are anaemic22 (%),44.6,54.6,52.5,52.1
Meghalaya,ML,97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),16.1,27.4,25.5,32.4
Meghalaya,ML,98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),7.4,35.0,30.1,25.2
Meghalaya,ML,99. Blood sugar level - high (141-160 mg/dl)23 (%),3.0,5.5,5.0,
Meghalaya,ML,100. Blood sugar level - very high (>160 mg/dl)23 (%),4.8,2.5,3.0,
Meghalaya,ML,101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),10.3,9.3,9.5,
Meghalaya,ML,102. Blood sugar level - high (141-160 mg/dl)23 (%),6.6,9.0,8.6,
Meghalaya,ML,103. Blood sugar level - very high (>160 mg/dl)23 (%),7.6,3.5,4.2,
Meghalaya,ML,104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),16.0,13.4,13.9,
Meghalaya,ML,105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.6,9.0,10.0,
Meghalaya,ML,106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),4.9,3.6,3.9,
Meghalaya,ML,107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.6,17.1,18.7,
Meghalaya,ML,108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.8,13.3,14.2,
Meghalaya,ML,109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),5.8,3.4,3.8,
Meghalaya,ML,110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),28.5,19.9,21.4,
Meghalaya,ML,111. Ever undergone a screening test for cervical cancer (%),0.6,0.6,0.6,
Meghalaya,ML,112. Ever undergone a breast examination for breast cancer (%),1.3,0.2,0.5,
Meghalaya,ML,113. Ever undergone an oral cavity examination for oral cancer (%),0.4,0.4,0.4,
Meghalaya,ML,114. Ever undergone an oral cavity examination for oral cancer (%),2.3,0.9,1.2,
Meghalaya,ML,115. Women who have comprehensive knowledge24 of HIV/AIDS (%),23.8,11.8,14.5,13.3
Meghalaya,ML,116. Men who have comprehensive knowledge24 of HIV/AIDS (%),32.5,11.9,15.9,14.2
Meghalaya,ML,117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),60.6,52.2,54.1,47.0
Meghalaya,ML,118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),70.6,60.8,62.7,52.1
Meghalaya,ML,119. Currently married women who usually participate in three household decisions25 (%),93.3,92.0,92.3,91.4
Meghalaya,ML,120. Women who worked in the last 12 months and were paid in cash (%),43.1,39.1,40.0,35.9
Meghalaya,ML,121. Women owning a house and/or land (alone or jointly with others) (%),47.8,70.1,65.0,57.3
Meghalaya,ML,122. Women having a bank or savings account that they themselves use (%),78.0,68.2,70.4,54.4
Meghalaya,ML,123. Women having a mobile phone that they themselves use (%),78.2,64.3,67.5,64.3
Meghalaya,ML,124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%),85.0,59.1,64.9,63.7
Meghalaya,ML,125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),23.2,14.2,16.0,28.8
Meghalaya,ML,126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.5,1.4,1.6,0.4
Meghalaya,ML,127. Young women age 18-29 years who experienced sexual violence by age 18 (%),7.9,6.4,6.7,5.1
Meghalaya,ML,128. Women age 15 years and above who use any kind of tobacco (%),27.2,28.5,28.2,
Meghalaya,ML,129. Men age 15 years and above who use any kind of tobacco (%),47.0,60.6,57.7,
Meghalaya,ML,130. Women age 15 years and above who consume alcohol (%),1.0,1.6,1.5,
Meghalaya,ML,131. Men age 15 years and above who consume alcohol (%),28.5,33.5,32.4,
Manipur,MN,1. Female population age 6 years and above who ever attended school (%),88.4,81.2,84.0,81.7
Manipur,MN,2. Population below age 15 years (%),25.5,29.5,28.0,29.9
Manipur,MN,"3. Sex ratio of the total population (females per 1,000 males)",1077.0,1060.0,1066.0,1049.0
Manipur,MN,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1010.0,947.0,967.0,962.0
Manipur,MN,5. Children under age 5 years whose birth was registered with the civil authority (%),88.2,87.1,87.4,64.8
Manipur,MN,6. Deaths in the last 3 years registered with the civil authority (%),42.5,41.8,42.1,
Manipur,MN,7. Population living in households with electricity (%),99.1,97.5,98.1,92.8
Manipur,MN,8. Population living in households with an improved drinking-water source1 (%),90.4,68.9,77.1,63.9
Manipur,MN,9. Population living in households that use an improved sanitation facility2 (%),60.6,67.5,64.9,52.6
Manipur,MN,10. Households using clean fuel for cooking3 (%),86.4,60.7,70.4,42.1
Manipur,MN,11. Households using iodized salt (%),99.2,99.3,99.3,99.5
Manipur,MN,12. Households with any usual member covered under a health insurance/financing scheme (%),12.3,15.3,14.2,3.6
Manipur,MN,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),31.3,21.8,25.0,
Manipur,MN,14. Women who are literate4 (%),92.1,84.8,87.6,
Manipur,MN,15. Men who are literate4 (%),96.9,94.0,95.2,
Manipur,MN,16. Women with 10 or more years of schooling (%),60.0,40.6,48.1,45.9
Manipur,MN,17. Men with 10 or more years of schooling (%),66.9,52.7,58.7,54.9
Manipur,MN,18. Women who have ever used the internet (%),50.8,40.4,44.8,
Manipur,MN,19. Men who have ever used the internet (%),81.5,68.2,73.9,
Manipur,MN,20. Women age 20-24 years married before age 18 years (%),14.2,17.6,16.3,13.7
Manipur,MN,21. Men age 25-29 years married before age 21 years (%),11.9,17.8,15.3,15.1
Manipur,MN,22. Total fertility rate (children per woman),1.8,2.4,2.2,2.6
Manipur,MN,23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.6,9.1,8.6,7.4
Manipur,MN,24. Adolescent fertility rate for women age 15-19 years5,43.0,43.0,43.0,43.0
Manipur,MN,25. Neonatal mortality rate (NNMR),5.7,22.7,17.2,15.6
Manipur,MN,26. Infant mortality rate (IMR),12.2,31.1,25.0,21.7
Manipur,MN,27. Under-five mortality rate (U5MR),17.1,36.2,30.0,25.9
Manipur,MN,28. Any method6 (%),61.5,61.2,61.3,23.6
Manipur,MN,29. Any modern method6 (%),19.3,17.5,18.2,12.7
Manipur,MN,30. Female sterilization (%),4.4,3.2,3.7,3.1
Manipur,MN,31. Male sterilization (%),0.0,0.1,0.0,0.1
Manipur,MN,32. IUD/PPIUD (%),5.5,4.5,4.9,3.7
Manipur,MN,33. Pill (%),3.0,5.2,4.4,4.2
Manipur,MN,34. Condom (%),6.1,4.0,4.8,1.3
Manipur,MN,35. Injectables (%),0.1,0.2,0.1,0.1
Manipur,MN,36. Total unmet need7 (%),12.7,12.0,12.2,30.1
Manipur,MN,37. Unmet need for spacing7 (%),5.3,4.4,4.7,12.7
Manipur,MN,38. Health worker ever talked to female non-users about family planning (%),7.0,5.2,6.0,8.7
Manipur,MN,39. Current users ever told about side effects of current method8 (%),45.1,45.5,45.4,46.7
Manipur,MN,40. Mothers who had an antenatal check-up in the first trimester (%),84.0,77.7,79.9,77.0
Manipur,MN,41. Mothers who had at least 4 antenatal care visits (%),88.8,74.5,79.4,69.0
Manipur,MN,42. Mothers whose last birth was protected against neonatal tetanus9 (%),91.8,87.4,88.9,88.8
Manipur,MN,43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),63.0,46.8,52.3,39.2
Manipur,MN,44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),36.0,27.4,30.3,16.3
Manipur,MN,45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),74.9,71.9,72.9,32.8
Manipur,MN,46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),86.2,66.8,73.4,64.6
Manipur,MN,47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),16197.0,13564.0,14518.0,10348.0
Manipur,MN,48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0,0.6,0.5,0.4
Manipur,MN,49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),82.6,63.9,70.3,
Manipur,MN,50. Institutional births (%),92.5,73.9,79.9,69.1
Manipur,MN,51. Institutional births in public facility (%),64.5,56.9,59.4,45.7
Manipur,MN,52. Home births that were conducted by skilled health personnel10 (%),3.1,7.1,5.8,8.0
Manipur,MN,53. Births attended by skilled health personnel10 (%),95.6,80.8,85.6,77.2
Manipur,MN,54. Births delivered by caesarean section (%),38.0,19.7,25.6,21.1
Manipur,MN,55. Births in a private health facility that were delivered by caesarean section (%),57.8,49.6,53.2,46.2
Manipur,MN,56. Births in a public health facility that were delivered by caesarean section (%),33.9,19.7,24.7,22.6
Manipur,MN,57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),75.1,65.9,68.8,65.8
Manipur,MN,58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),79.6,73.9,75.7,78.0
Manipur,MN,59. Children age 12-23 months who have received BCG (%),95.2,95.5,95.4,91.2
Manipur,MN,60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),80.7,73.3,75.6,76.6
Manipur,MN,61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.8,78.4,81.4,77.8
Manipur,MN,62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),83.7,73.3,76.6,74.2
Manipur,MN,63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),18.1,14.1,15.3,
Manipur,MN,64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),9.6,5.5,6.8,
Manipur,MN,65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.5,76.5,80.0,69.8
Manipur,MN,66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%),48.7,43.0,44.9,39.0
Manipur,MN,67. Children age 12-23 months who received most of their vaccinations in a public health facility (%),88.6,94.0,92.3,92.9
Manipur,MN,68. Children age 12-23 months who received most of their vaccinations in a private health facility (%),11.4,2.9,5.6,6.1
Manipur,MN,69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.5,5.6,5.6,5.8
Manipur,MN,70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),66.7,71.2,69.8,60.2
Manipur,MN,71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),28.2,25.1,26.1,14.1
Manipur,MN,72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),45.9,49.2,48.2,31.2
Manipur,MN,73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.4,1.5,1.8,1.7
Manipur,MN,74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),44.8,39.3,41.2,39.1
Manipur,MN,75. Children under age 3 years breastfed within one hour of birth15 (%),48.9,56.0,53.7,65.4
Manipur,MN,76. Children under age 6 months exclusively breastfed16 (%),65.7,73.4,70.7,73.6
Manipur,MN,77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),83.5,77.4,78.9,78.8
Manipur,MN,"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",19.6,19.1,19.3,19.3
Manipur,MN,"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,21.4,22.4,14.0
Manipur,MN,"80. Total children age 6-23 months receiving an adequate diet16, 17  (%)",20.0,19.4,19.6,18.8
Manipur,MN,81. Children under 5 years who are stunted (height-for-age)18 (%),20.1,25.1,23.4,28.9
Manipur,MN,82. Children under 5 years who are wasted (weight-for-height)18 (%),9.8,10.0,9.9,6.8
Manipur,MN,83. Children under 5 years who are severely wasted (weight-for-height)19 (%),2.6,3.8,3.4,2.2
Manipur,MN,84. Children under 5 years who are underweight (weight-for-age)18 (%),12.9,13.5,13.3,13.8
Manipur,MN,85. Children under 5 years who are overweight (weight-for-height)20 (%),2.9,3.6,3.4,3.1
Manipur,MN,86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),6.1,7.9,7.2,8.8
Manipur,MN,87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),7.6,8.3,8.0,11.1
Manipur,MN,88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),39.0,31.0,34.1,26.0
Manipur,MN,89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),33.4,27.9,30.3,19.8
Manipur,MN,90. Women who have high risk waist-to-hip ratio (≥0.85) (%),69.7,63.1,65.7,
Manipur,MN,91. Men who have high risk waist-to-hip ratio (≥0.90) (%),53.4,45.2,48.7,
Manipur,MN,92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),44.0,42.2,42.8,23.9
Manipur,MN,93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),30.5,28.6,29.3,26.4
